Country Name,Country Code,Year,Urban Population (%),GDP per capita
Brazil,BRA,2000,81.192,3766.54811466032
China,CHN,2000,35.877,959.360431369138
France,FRA,2000,75.871,22340.5939516217
India,IND,2000,27.667,442.750218937263
United States,USA,2000,79.057,36329.9702595751
Brazil,BRA,2001,81.553,3176.28935747524
China,CHN,2001,37.093,1053.11231442789
France,FRA,2001,76.127,22331.7948343036
India,IND,2001,27.918,450.357900514128
United States,USA,2001,79.234,37133.6203973517
Brazil,BRA,2002,81.88,2855.94018885769
China,CHN,2002,38.425,1148.51425710711
France,FRA,2002,76.38,24144.5727019529
India,IND,2002,28.244,469.149928973927
United States,USA,2002,79.409,37997.7424300242
Brazil,BRA,2003,82.203,3090.6070097455
China,CHN,2003,39.776,1288.63749134336
France,FRA,2003,76.632,29479.5222101175
India,IND,2003,28.572,544.143133545002
United States,USA,2003,79.583,39490.3023903176
Brazil,BRA,2004,82.521,3663.823188064
China,CHN,2004,41.144,1508.66791560781
France,FRA,2004,76.883,33644.9282220364
India,IND,2004,28.903,624.258826510066
United States,USA,2004,79.757,41724.6411982614
Brazil,BRA,2005,82.834,4827.78173052472
China,CHN,2005,42.522,1753.41419160544
France,FRA,2005,77.13,34696.3718316971
India,IND,2005,29.235,710.488080408949
United States,USA,2005,79.928,44123.3996470026
Brazil,BRA,2006,83.143,5934.1447107274
China,CHN,2006,43.868,2099.2194300499
France,FRA,2006,77.377,36431.5658906555
India,IND,2006,29.569,801.668353659022
United States,USA,2006,80.099,46301.9876485519
Brazil,BRA,2007,83.448,7409.69130727951
China,CHN,2007,45.199,2693.95873160283
France,FRA,2007,77.621,41486.1907828787
India,IND,2007,29.906,1021.88707706826
United States,USA,2007,80.269,48050.227412195
Brazil,BRA,2008,83.749,8908.33176567294
China,CHN,2008,46.539,3468.32706307504
France,FRA,2008,77.868,45464.8181385158
India,IND,2008,30.246,992.519584923828
United States,USA,2008,80.438,48570.0594269601
Brazil,BRA,2009,84.044,8678.65922498836
China,CHN,2009,47.88,3832.2274569094
France,FRA,2009,78.117,41728.0884164132
India,IND,2009,30.587,1094.94974598436
United States,USA,2009,80.606,47194.9500893872
Brazil,BRA,2010,84.335,11403.2821284616
China,CHN,2010,49.226,4550.47394356715
France,FRA,2010,78.369,40694.8211697025
India,IND,2010,30.93,1347.51939071367
United States,USA,2010,80.772,48650.6643227232
Brazil,BRA,2011,84.631,13396.6243566047
China,CHN,2011,50.511,5614.38602225277
France,FRA,2011,78.622,43929.7840873812
India,IND,2011,31.276,1445.46127486037
United States,USA,2011,80.944,50065.9789470675
Brazil,BRA,2012,84.923,12521.7213530369
China,CHN,2012,51.765,6300.58217951734
France,FRA,2012,78.878,40863.5814412333
India,IND,2012,31.634,1429.32199520032
United States,USA,2012,81.119,51784.4114692048
Brazil,BRA,2013,85.209,12458.891214816
China,CHN,2013,53.013,7020.3860742288
France,FRA,2013,79.135,42669.1795111893
India,IND,2013,32.003,1432.84397512195
United States,USA,2013,81.299,53409.7507774372
Brazil,BRA,2014,85.492,12274.9939689363
China,CHN,2014,54.259,7636.07434020616
France,FRA,2014,79.394,43148.0459288416
India,IND,2014,32.384,1553.88396075118
United States,USA,2014,81.483,55304.3155317137
Brazil,BRA,2015,85.77,8936.19661756825
China,CHN,2015,55.5,8016.44559489998
France,FRA,2015,79.655,36702.4323733379
India,IND,2015,32.777,1583.99815907985
United States,USA,2015,81.671,57040.2082136605
Brazil,BRA,2016,86.042,8836.28652636996
China,CHN,2016,56.736,8094.39016735149
France,FRA,2016,79.917,37024.2157133669
India,IND,2016,33.182,1707.50892912243
United States,USA,2016,81.862,58206.6141931844
Brazil,BRA,2017,86.309,10080.5092817775
China,CHN,2017,57.96,8817.04560829162
France,FRA,2017,80.18,38687.1626407164
India,IND,2017,33.6,1950.10468280866
United States,USA,2017,82.058,60322.2614241747
Brazil,BRA,2018,86.569,9300.66164936497
China,CHN,2018,59.152,9905.40638304527
France,FRA,2018,80.444,41418.1766484844
India,IND,2018,34.03,1966.25455171679
United States,USA,2018,82.256,63201.0458483771
Brazil,BRA,2019,86.824,9029.83326742175
China,CHN,2019,60.308,10143.8602206165
France,FRA,2019,80.709,40408.2848574751
India,IND,2019,34.472,2041.42863698585
United States,USA,2019,82.459,65604.6815198734
Brazil,BRA,2020,87.073,7074.19378281866
China,CHN,2020,61.428,10408.7195541075
France,FRA,2020,80.975,39169.8606000707
India,IND,2020,34.926,1907.04251637669
United States,USA,2020,82.664,64411.3731779373
